Start of simulation. Time: Saturday, July 2, 2016 10:01:22 PM
Simulation: 200 07/02/2016 22:01:22:68911 Total Errors:     1, Errors this iteration:     1, Total Bits Simulated:       100, Bit Error Rate:  0.01, Percent errors found:  0.20
Simulation: 200 07/02/2016 22:01:22:87674 Total Errors:     2, Errors this iteration:     1, Total Bits Simulated:       200, Bit Error Rate:  0.01, Percent errors found:  0.40
Simulation: 200 07/02/2016 22:01:23:32954 Total Errors:     4, Errors this iteration:     2, Total Bits Simulated:       400, Bit Error Rate:  0.01, Percent errors found:  0.80
Simulation: 200 07/02/2016 22:01:23:74231 Total Errors:     6, Errors this iteration:     2, Total Bits Simulated:       600, Bit Error Rate:  0.01, Percent errors found:  1.20
Simulation: 200 07/02/2016 22:01:23:94545 Total Errors:     7, Errors this iteration:     1, Total Bits Simulated:       700, Bit Error Rate:  0.01, Percent errors found:  1.40
Simulation: 200 07/02/2016 22:01:24:14258 Total Errors:     9, Errors this iteration:     2, Total Bits Simulated:       800, Bit Error Rate:  0.01, Percent errors found:  1.80
Simulation: 200 07/02/2016 22:01:24:40125 Total Errors:    10, Errors this iteration:     1, Total Bits Simulated:       900, Bit Error Rate:  0.01, Percent errors found:  2.00
Simulation: 200 07/02/2016 22:01:24:66343 Total Errors:    11, Errors this iteration:     1, Total Bits Simulated:      1000, Bit Error Rate:  0.01, Percent errors found:  2.20
Simulation: 200 07/02/2016 22:01:24:88408 Total Errors:    12, Errors this iteration:     1, Total Bits Simulated:      1100, Bit Error Rate:  0.01, Percent errors found:  2.40
Simulation: 200 07/02/2016 22:01:25:09322 Total Errors:    13, Errors this iteration:     1, Total Bits Simulated:      1200, Bit Error Rate:  0.01, Percent errors found:  2.60
Simulation: 200 07/02/2016 22:01:25:30436 Total Errors:    15, Errors this iteration:     2, Total Bits Simulated:      1300, Bit Error Rate:  0.01, Percent errors found:  3.00
Simulation: 200 07/02/2016 22:01:25:73314 Total Errors:    17, Errors this iteration:     2, Total Bits Simulated:      1500, Bit Error Rate:  0.01, Percent errors found:  3.40
Simulation: 200 07/02/2016 22:01:25:92077 Total Errors:    19, Errors this iteration:     2, Total Bits Simulated:      1600, Bit Error Rate:  0.01, Percent errors found:  3.80
Simulation: 200 07/02/2016 22:01:26:25999 Total Errors:    22, Errors this iteration:     3, Total Bits Simulated:      1700, Bit Error Rate:  0.01, Percent errors found:  4.40
Simulation: 200 07/02/2016 22:01:26:43911 Total Errors:    23, Errors this iteration:     1, Total Bits Simulated:      1800, Bit Error Rate:  0.01, Percent errors found:  4.60
Simulation: 200 07/02/2016 22:01:26:61123 Total Errors:    24, Errors this iteration:     1, Total Bits Simulated:      1900, Bit Error Rate:  0.01, Percent errors found:  4.80
Simulation: 200 07/02/2016 22:01:26:79437 Total Errors:    25, Errors this iteration:     1, Total Bits Simulated:      2000, Bit Error Rate:  0.01, Percent errors found:  5.00
Simulation: 200 07/02/2016 22:01:27:35581 Total Errors:    26, Errors this iteration:     1, Total Bits Simulated:      2300, Bit Error Rate:  0.01, Percent errors found:  5.20
Simulation: 200 07/02/2016 22:01:27:52993 Total Errors:    29, Errors this iteration:     3, Total Bits Simulated:      2400, Bit Error Rate:  0.01, Percent errors found:  5.80
Simulation: 200 07/02/2016 22:01:27:70855 Total Errors:    30, Errors this iteration:     1, Total Bits Simulated:      2500, Bit Error Rate:  0.01, Percent errors found:  6.00
Simulation: 200 07/02/2016 22:01:27:88267 Total Errors:    32, Errors this iteration:     2, Total Bits Simulated:      2600, Bit Error Rate:  0.01, Percent errors found:  6.40
Simulation: 200 07/02/2016 22:01:28:22689 Total Errors:    33, Errors this iteration:     1, Total Bits Simulated:      2800, Bit Error Rate:  0.01, Percent errors found:  6.60
Simulation: 200 07/02/2016 22:01:28:40451 Total Errors:    36, Errors this iteration:     3, Total Bits Simulated:      2900, Bit Error Rate:  0.01, Percent errors found:  7.20
Simulation: 200 07/02/2016 22:01:28:75876 Total Errors:    37, Errors this iteration:     1, Total Bits Simulated:      3100, Bit Error Rate:  0.01, Percent errors found:  7.40
Simulation: 200 07/02/2016 22:01:28:94461 Total Errors:    39, Errors this iteration:     2, Total Bits Simulated:      3200, Bit Error Rate:  0.01, Percent errors found:  7.80
Simulation: 200 07/02/2016 22:01:29:11920 Total Errors:    40, Errors this iteration:     1, Total Bits Simulated:      3300, Bit Error Rate:  0.01, Percent errors found:  8.00
Simulation: 200 07/02/2016 22:01:29:29078 Total Errors:    41, Errors this iteration:     1, Total Bits Simulated:      3400, Bit Error Rate:  0.01, Percent errors found:  8.20
Simulation: 200 07/02/2016 22:01:29:47291 Total Errors:    44, Errors this iteration:     3, Total Bits Simulated:      3500, Bit Error Rate:  0.01, Percent errors found:  8.80
Simulation: 200 07/02/2016 22:01:29:70324 Total Errors:    45, Errors this iteration:     1, Total Bits Simulated:      3600, Bit Error Rate:  0.01, Percent errors found:  9.00
Simulation: 200 07/02/2016 22:01:30:10351 Total Errors:    46, Errors this iteration:     1, Total Bits Simulated:      3800, Bit Error Rate:  0.01, Percent errors found:  9.20
Simulation: 200 07/02/2016 22:01:30:69379 Total Errors:    47, Errors this iteration:     1, Total Bits Simulated:      4100, Bit Error Rate:  0.01, Percent errors found:  9.40
Simulation: 200 07/02/2016 22:01:30:87641 Total Errors:    51, Errors this iteration:     4, Total Bits Simulated:      4200, Bit Error Rate:  0.01, Percent errors found:  10.20
Simulation: 200 07/02/2016 22:01:31:07154 Total Errors:    52, Errors this iteration:     1, Total Bits Simulated:      4300, Bit Error Rate:  0.01, Percent errors found:  10.40
Simulation: 200 07/02/2016 22:01:31:25366 Total Errors:    57, Errors this iteration:     5, Total Bits Simulated:      4400, Bit Error Rate:  0.01, Percent errors found:  11.40
Simulation: 200 07/02/2016 22:01:31:44679 Total Errors:    58, Errors this iteration:     1, Total Bits Simulated:      4500, Bit Error Rate:  0.01, Percent errors found:  11.60
Simulation: 200 07/02/2016 22:01:31:67094 Total Errors:    59, Errors this iteration:     1, Total Bits Simulated:      4600, Bit Error Rate:  0.01, Percent errors found:  11.80
Simulation: 200 07/02/2016 22:01:31:87458 Total Errors:    60, Errors this iteration:     1, Total Bits Simulated:      4700, Bit Error Rate:  0.01, Percent errors found:  12.00
Simulation: 200 07/02/2016 22:01:32:09039 Total Errors:    62, Errors this iteration:     2, Total Bits Simulated:      4800, Bit Error Rate:  0.01, Percent errors found:  12.40
Simulation: 200 07/02/2016 22:01:32:27452 Total Errors:    63, Errors this iteration:     1, Total Bits Simulated:      4900, Bit Error Rate:  0.01, Percent errors found:  12.60
Simulation: 200 07/02/2016 22:01:32:47116 Total Errors:    64, Errors this iteration:     1, Total Bits Simulated:      5000, Bit Error Rate:  0.01, Percent errors found:  12.80
Simulation: 200 07/02/2016 22:01:33:00804 Total Errors:    65, Errors this iteration:     1, Total Bits Simulated:      5300, Bit Error Rate:  0.01, Percent errors found:  13.00
Simulation: 200 07/02/2016 22:01:33:19166 Total Errors:    66, Errors this iteration:     1, Total Bits Simulated:      5400, Bit Error Rate:  0.01, Percent errors found:  13.20
Simulation: 200 07/02/2016 22:01:33:60145 Total Errors:    69, Errors this iteration:     3, Total Bits Simulated:      5600, Bit Error Rate:  0.01, Percent errors found:  13.80
Simulation: 200 07/02/2016 22:01:33:81709 Total Errors:    70, Errors this iteration:     1, Total Bits Simulated:      5700, Bit Error Rate:  0.01, Percent errors found:  14.00
Simulation: 200 07/02/2016 22:01:34:19290 Total Errors:    71, Errors this iteration:     1, Total Bits Simulated:      5900, Bit Error Rate:  0.01, Percent errors found:  14.20
Simulation: 200 07/02/2016 22:01:34:42455 Total Errors:    72, Errors this iteration:     1, Total Bits Simulated:      6000, Bit Error Rate:  0.01, Percent errors found:  14.40
Simulation: 200 07/02/2016 22:01:35:13303 Total Errors:    73, Errors this iteration:     1, Total Bits Simulated:      6400, Bit Error Rate:  0.01, Percent errors found:  14.60
