Start of simulation. Time: Saturday, July 2, 2016 10:01:22 PM
Simulation: 300 07/02/2016 22:01:22:64008 Total Errors:     4, Errors this iteration:     4, Total Bits Simulated:       100, Bit Error Rate:  0.04, Percent errors found:  0.80
Simulation: 300 07/02/2016 22:01:22:85322 Total Errors:    10, Errors this iteration:     6, Total Bits Simulated:       200, Bit Error Rate:  0.05, Percent errors found:  2.00
Simulation: 300 07/02/2016 22:01:23:05786 Total Errors:    12, Errors this iteration:     2, Total Bits Simulated:       300, Bit Error Rate:  0.04, Percent errors found:  2.40
Simulation: 300 07/02/2016 22:01:23:30002 Total Errors:    14, Errors this iteration:     2, Total Bits Simulated:       400, Bit Error Rate:  0.04, Percent errors found:  2.80
Simulation: 300 07/02/2016 22:01:23:50015 Total Errors:    17, Errors this iteration:     3, Total Bits Simulated:       500, Bit Error Rate:  0.03, Percent errors found:  3.40
Simulation: 300 07/02/2016 22:01:23:70929 Total Errors:    20, Errors this iteration:     3, Total Bits Simulated:       600, Bit Error Rate:  0.03, Percent errors found:  4.00
Simulation: 300 07/02/2016 22:01:23:90592 Total Errors:    23, Errors this iteration:     3, Total Bits Simulated:       700, Bit Error Rate:  0.03, Percent errors found:  4.60
Simulation: 300 07/02/2016 22:01:24:09605 Total Errors:    26, Errors this iteration:     3, Total Bits Simulated:       800, Bit Error Rate:  0.03, Percent errors found:  5.20
Simulation: 300 07/02/2016 22:01:24:30919 Total Errors:    31, Errors this iteration:     5, Total Bits Simulated:       900, Bit Error Rate:  0.03, Percent errors found:  6.20
Simulation: 300 07/02/2016 22:01:24:66143 Total Errors:    34, Errors this iteration:     3, Total Bits Simulated:      1000, Bit Error Rate:  0.03, Percent errors found:  6.80
Simulation: 300 07/02/2016 22:01:24:86556 Total Errors:    39, Errors this iteration:     5, Total Bits Simulated:      1100, Bit Error Rate:  0.04, Percent errors found:  7.80
Simulation: 300 07/02/2016 22:01:25:08121 Total Errors:    41, Errors this iteration:     2, Total Bits Simulated:      1200, Bit Error Rate:  0.03, Percent errors found:  8.20
Simulation: 300 07/02/2016 22:01:25:27183 Total Errors:    42, Errors this iteration:     1, Total Bits Simulated:      1300, Bit Error Rate:  0.03, Percent errors found:  8.40
Simulation: 300 07/02/2016 22:01:25:50599 Total Errors:    46, Errors this iteration:     4, Total Bits Simulated:      1400, Bit Error Rate:  0.03, Percent errors found:  9.20
Simulation: 300 07/02/2016 22:01:25:72063 Total Errors:    54, Errors this iteration:     8, Total Bits Simulated:      1500, Bit Error Rate:  0.04, Percent errors found:  10.80
Simulation: 300 07/02/2016 22:01:25:90926 Total Errors:    59, Errors this iteration:     5, Total Bits Simulated:      1600, Bit Error Rate:  0.04, Percent errors found:  11.80
Simulation: 300 07/02/2016 22:01:26:16693 Total Errors:    60, Errors this iteration:     1, Total Bits Simulated:      1700, Bit Error Rate:  0.04, Percent errors found:  12.00
Simulation: 300 07/02/2016 22:01:26:37707 Total Errors:    63, Errors this iteration:     3, Total Bits Simulated:      1800, Bit Error Rate:  0.04, Percent errors found:  12.60
Simulation: 300 07/02/2016 22:01:26:55019 Total Errors:    66, Errors this iteration:     3, Total Bits Simulated:      1900, Bit Error Rate:  0.03, Percent errors found:  13.20
Simulation: 300 07/02/2016 22:01:26:90645 Total Errors:    71, Errors this iteration:     5, Total Bits Simulated:      2100, Bit Error Rate:  0.03, Percent errors found:  14.20
