Start of simulation. Time: Tuesday, June 28, 2016 10:32:34 AM
Tuesday, June 28, 2016 10:32:35 AM Total Errors:    52, Errors this iteration:     2, Total Bits Simulated:        76, Bit Error Rate:  0.68, Percent errors found:  10.40
Tuesday, June 28, 2016 10:32:35 AM Total Errors:    53, Errors this iteration:     1, Total Bits Simulated:        80, Bit Error Rate:  0.66, Percent errors found:  10.60
Tuesday, June 28, 2016 10:32:35 AM Total Errors:    54, Errors this iteration:     1, Total Bits Simulated:        82, Bit Error Rate:  0.66, Percent errors found:  10.80
Tuesday, June 28, 2016 10:32:35 AM Total Errors:    56, Errors this iteration:     2, Total Bits Simulated:        84, Bit Error Rate:  0.67, Percent errors found:  11.20
Tuesday, June 28, 2016 10:32:35 AM Total Errors:    57, Errors this iteration:     1, Total Bits Simulated:        86, Bit Error Rate:  0.66, Percent errors found:  11.40
Tuesday, June 28, 2016 10:32:35 AM Total Errors:    59, Errors this iteration:     2, Total Bits Simulated:        88, Bit Error Rate:  0.67, Percent errors found:  11.80
Tuesday, June 28, 2016 10:32:35 AM Total Errors:    60, Errors this iteration:     1, Total Bits Simulated:        90, Bit Error Rate:  0.67, Percent errors found:  12.00
Tuesday, June 28, 2016 10:32:35 AM Total Errors:    62, Errors this iteration:     2, Total Bits Simulated:        94, Bit Error Rate:  0.66, Percent errors found:  12.40
Tuesday, June 28, 2016 10:32:35 AM Total Errors:    64, Errors this iteration:     2, Total Bits Simulated:        96, Bit Error Rate:  0.67, Percent errors found:  12.80
Tuesday, June 28, 2016 10:32:35 AM Total Errors:    66, Errors this iteration:     2, Total Bits Simulated:       100, Bit Error Rate:  0.66, Percent errors found:  13.20
Tuesday, June 28, 2016 10:32:35 AM Total Errors:    68, Errors this iteration:     2, Total Bits Simulated:       102, Bit Error Rate:  0.67, Percent errors found:  13.60
Tuesday, June 28, 2016 10:32:35 AM Total Errors:    69, Errors this iteration:     1, Total Bits Simulated:       106, Bit Error Rate:  0.65, Percent errors found:  13.80
Tuesday, June 28, 2016 10:32:35 AM Total Errors:    71, Errors this iteration:     2, Total Bits Simulated:       108, Bit Error Rate:  0.66, Percent errors found:  14.20
Tuesday, June 28, 2016 10:32:35 AM Total Errors:    72, Errors this iteration:     1, Total Bits Simulated:       112, Bit Error Rate:  0.64, Percent errors found:  14.40
Tuesday, June 28, 2016 10:32:35 AM Total Errors:    74, Errors this iteration:     2, Total Bits Simulated:       114, Bit Error Rate:  0.65, Percent errors found:  14.80
Tuesday, June 28, 2016 10:32:35 AM Total Errors:    76, Errors this iteration:     2, Total Bits Simulated:       116, Bit Error Rate:  0.66, Percent errors found:  15.20
