1.4142135623731,
1.14412280563537,
0.437016024448821,
-0.437016024448821,
-1.14412280563537,
-1.4142135623731,
-1.14412280563537,
-0.437016024448821,
0.437016024448821,
1.14412280563537,
1,
0.221231742082474,
-0.642039521920206,
-1.2600735106701,
-1.39680224666742,
-1,
-0.221231742082475,
0.642039521920206,
1.2600735106701,
1.39680224666742
